Title	Line 100
Dim	1
Geo	NON-UTM	0	-9000	90
Time	2000-01-01	00:00:00	1	5
NoGridPoints	201
Spacing	50
NoStaticItems	1
NoDynamicItems	32
Item	Sign. Wave Height	Significant wave height	meter
Item	Max. Wave Height	Maximum wave height	meter
Item	Peak Wave Period	Wave period	second
Item	Wave Period, T01	Wave period	second
Item	Peak Wave Direction	Wave direction	radian
Item	Mean Wave Direction	Mean Wave Direction	degree
Item	Dir. Stand. Deviation	Directional Standard Deviation	degree
Item	x-comp. of wave height vector	u-velocity component	meter/sec
Item	y-comp. of wave height vector	v-velocity component	meter/sec
Item	Rad. Stress, Sxx	Radiation Stress	meter^3/sec^2
Item	Rad. Stress, Sxy	Radiation Stress	meter^3/sec^2
Item	Rad. Stress, Syy	Radiation Stress	meter^3/sec^2
Item	Horiz. particle vel., bed	Horizontal particle velocity	meter/sec
Item	Horiz. particle vel., surface	Horizontal particle velocity	meter/sec
Item	Vert. particle vel., surface	Vertical particle velocity	meter/sec
Item	Horiz. particle vel., z-level	Horizontal particle velocity	meter/sec
Item	Vert. particle vel., z-level	Vertical particle velocity	meter/sec
Item	Wave power, P	Wave Power	kW/meter
Item	Wave power, Px	Wave Power	kW/meter
Item	Wave power, Py	Wave Power	kW/meter
Item	x-comp. of Stokes drift	u-velocity component	meter/sec
Item	y-comp. of Stokes drift	v-velocity component	meter/sec
Item	Surface elevation	Surface Elevation	meter
Item	Water depth	Water Depth	meter
Item	Current velocity, U	u-velocity component	meter/sec
Item	Current velocity, V	v-velocity component	meter/sec
Item	Friction coefficient	Friction Coefficient	meter^2/sec
Item	Breaking par., gamma	Breaking parameter, Gamma	()
Item	Conv. angle	Angle	radian
Item	Length	Element length	meter
Item	Area	Element area	meter^2
Item	Breaking index	Undefined	percent
NoCustomBlocks	1
M21_Misc	1	7	90	0	-9000	0	0	0	0
Delete	-1E-30
DataType	0

tstep	0
11.8457	21.7447	15.4	12.782	4.61999	270	24.8884	11.8457	2.06795E-25	38.1875	2.58053E-15	8.63165	0.265768	2.69172	2.67856	0.265768	0	965.483	874.394	3.46176E-14	0.151251	1.65883E-17	0	143.5	0	0	0	0.55	0	100	10000	0	
11.841	21.736	15.4	12.782	4.61999	270	24.8834	11.841	4.1359E-25	38.2383	2.7641E-15	8.67229	0.271096	2.69118	2.67748	0.271096	0	965.455	874.406	3.12923E-14	0.151196	1.76716E-17	0	142.5	0	0	0	0.55	0	100	10000	0	
11.8359	21.7267	15.4	12.782	4.61999	270	24.8779	11.8359	-8.27181E-25	38.2922	2.53373E-15	8.71532	0.276627	2.69061	2.67634	0.276627	0	965.416	874.41	2.95053E-14	0.151139	1.67297E-17	0	141.5	0	0	0	0.55	0	100	10000	0	
11.8309	21.7174	15.4	12.782	4.61999	270	24.8725	11.8309	-1.86116E-24	38.346	2.30336E-15	8.75835	0.282159	2.69004	2.67519	0.282159	0	965.377	874.415	2.77183E-14	0.151082	1.57878E-17	0	140.5	0	0	0	0.55	0	100	10000	0	
11.8255	21.7075	15.4	12.782	4.61999	270	24.8666	11.8255	1.65436E-24	38.4032	1.83116E-15	8.80395	0.287901	2.68944	2.67397	0.287901	0	965.33	874.416	2.56684E-14	0.151023	1.37736E-17	0	139.5	0	0	0	0.55	0	100	10000	0	
11.8201	21.6976	15.4	12.782	4.61999	270	24.8606	11.8201	4.1359E-24	38.4605	1.35895E-15	8.84954	0.293642	2.68884	2.67276	0.293642	0	965.284	874.417	2.36184E-14	0.150964	1.17594E-17	0	138.5	0	0	0	0.55	0	100	10000	0	
11.8144	21.6871	15.4	12.782	4.61999	270	24.8542	11.8144	-3.30872E-24	38.5213	1.32116E-15	8.89784	0.299601	2.68823	2.67147	0.299601	0	965.232	874.417	1.65521E-14	0.150903	1.09475E-17	0	137.5	0	0	0	0.55	0	100	10000	0	
11.8087	21.6767	15.4	12.782	4.61999	270	24.8478	11.8087	-8.27181E-24	38.5821	1.28337E-15	8.94614	0.305561	2.68761	2.67018	0.305561	0	965.18	874.417	9.48574E-15	0.150842	1.01356E-17	0	136.5	0	0	0	0.55	0	100	10000	0	
11.8026	21.6656	15.4	12.782	4.61999	270	24.8409	11.8026	-3.30872E-24	38.6468	1.59145E-15	8.99729	0.311744	2.68698	2.66881	0.311744	0	965.124	874.417	1.48646E-14	0.15078	8.03157E-18	0	135.5	0	0	0	0.55	0	100	10000	0	
11.7966	21.6545	15.4	12.782	4.61999	270	24.8339	11.7966	-3.30872E-24	38.7115	1.89953E-15	9.04843	0.317927	2.68634	2.66745	0.317927	0	965.067	874.416	2.02434E-14	0.150717	5.92754E-18	0	134.5	0	0	0	0.55	0	100	10000	0	
11.7903	21.6429	15.4	12.782	4.61999	270	24.8264	11.7903	0	38.7803	1.83724E-15	9.10255	0.324342	2.68569	2.66601	0.324342	0	965.006	874.415	2.17746E-14	0.150654	3.04805E-18	0	133.5	0	0	0	0.55	0	100	10000	0	
11.7839	21.6312	15.4	12.782	4.61999	270	24.8189	11.7839	3.30872E-24	38.8491	1.77495E-15	9.15667	0.330757	2.68504	2.66458	0.330757	0	964.944	874.414	2.33058E-14	0.150591	1.6856E-19	0	132.5	0	0	0	0.55	0	100	10000	0	
11.7772	21.6189	15.4	12.782	4.61999	270	24.8108	11.7772	1.32349E-23	38.9222	1.50337E-15	9.21389	0.33741	2.68437	2.66306	0.33741	0	964.878	874.413	2.84395E-14	0.150526	-1.5992E-18	0	131.5	0	0	0	0.55	0	100	10000	0	
11.7705	21.6066	15.4	12.782	4.61999	270	24.8027	11.7705	2.64698E-23	38.9953	1.23178E-15	9.27112	0.344063	2.6837	2.66155	0.344063	0	964.812	874.412	3.35731E-14	0.150462	-3.36696E-18	0	130.5	0	0	0	0.55	0	100	10000	0	
11.7635	21.5937	15.4	12.782	4.61999	270	24.794	11.7635	1.32349E-23	39.0729	1.19423E-15	9.33157	0.350962	2.68302	2.65995	0.350962	0	964.74	874.411	3.32321E-14	0.150398	-2.14765E-18	0	129.5	0	0	0	0.55	0	100	10000	0	
11.7564	21.5807	15.4	12.782	4.61999	270	24.7853	11.7564	1.32349E-23	39.1505	1.15667E-15	9.39203	0.35786	2.68235	2.65836	0.35786	0	964.669	874.41	3.2891E-14	0.150333	-9.28348E-19	0	128.5	0	0	0	0.55	0	100	10000	0	
11.749	21.5671	15.4	12.782	4.61999	270	24.7758	11.749	-5.29396E-23	39.2329	9.42318E-16	9.45586	0.365012	2.68166	2.65668	0.365012	0	964.592	874.409	1.71632E-14	0.150268	-1.21634E-18	0	127.5	0	0	0	0.55	0	100	10000	0	
11.7416	21.5535	15.4	12.782	4.61999	270	24.7664	11.7416	0	39.3153	7.27969E-16	9.51969	0.372163	2.68097	2.655	0.372163	0	964.515	874.408	1.43529E-15	0.150203	-1.50433E-18	0	126.5	0	0	0	0.55	0	100	10000	0	
11.7338	21.5392	15.4	12.782	4.61999	270	24.7562	11.7338	-1.32349E-23	39.4026	7.71943E-16	9.58701	0.379575	2.68028	2.65324	0.379575	0	964.433	874.407	4.30589E-15	0.150139	-7.42001E-18	0	125.5	0	0	0	0.55	0	100	10000	0	
11.726	21.5249	15.4	12.782	4.61999	270	24.746	11.726	-2.64698E-23	39.49	8.15916E-16	9.65434	0.386987	2.67958	2.65148	0.386987	0	964.35	874.406	7.17648E-15	0.150075	-1.33357E-17	0	124.5	0	0	0	0.55	0	100	10000	0	
11.7178	21.5099	15.4	12.782	4.61999	270	24.7351	11.7178	-1.32349E-23	39.5827	6.22988E-16	9.72529	0.394667	2.67889	2.64963	0.394667	0	964.261	874.405	1.93587E-14	0.150011	-1.37435E-17	0	123.5	0	0	0	0.55	0	100	10000	0	
11.7096	21.4949	15.4	12.782	4.61999	270	24.7241	11.7096	0	39.6753	4.30061E-16	9.79624	0.402347	2.67819	2.64778	0.402347	0	964.172	874.404	3.1541E-14	0.149947	-1.41514E-17	0	122.5	0	0	0	0.55	0	100	10000	0	
11.7011	21.4792	15.4	12.782	4.61999	270	24.7123	11.7011	1.32349E-23	39.7734	4.0136E-16	9.87094	0.410302	2.6775	2.64585	0.410302	0	964.077	874.404	3.84333E-14	0.149885	-1.17276E-17	0	121.5	0	0	0	0.55	0	100	10000	0	
11.6925	21.4634	15.4	12.782	4.61999	270	24.7005	11.6925	2.64698E-23	39.8715	3.7266E-16	9.94564	0.418257	2.6768	2.64391	0.418257	0	963.982	874.403	4.53255E-14	0.149823	-9.30381E-18	0	120.5	0	0	0	0.55	0	100	10000	0	
11.6836	21.447	15.4	12.782	4.64309	270	24.6878	11.6836	3.97047E-23	39.9754	5.68645E-16	10.0242	0.426496	2.67612	2.64188	0.426496	0	963.879	874.402	4.20055E-14	0.149763	-1.12342E-17	0	119.5	0	0	0	0.55	0	100	10000	0	
11.6746	21.4305	15.4	12.782	4.66619	270	24.6751	11.6746	5.29396E-23	40.0793	7.6463E-16	10.1028	0.434735	2.67543	2.63986	0.434735	0	963.777	874.402	3.86855E-14	0.149703	-1.31646E-17	0	118.5	0	0	0	0.55	0	100	10000	0	
11.6652	21.4133	15.4	12.782	4.66619	270	24.6614	11.6652	5.29396E-23	40.1892	5.71254E-16	10.1854	0.443265	2.67475	2.63774	0.443265	0	963.667	874.401	3.45413E-14	0.149645	-1.56981E-17	0	117.5	0	0	0	0.55	0	100	10000	0	
11.6558	21.3961	15.4	12.782	4.66619	270	24.6477	11.6558	5.29396E-23	40.2991	3.77878E-16	10.268	0.451795	2.67408	2.63562	0.451795	0	963.557	874.401	3.0397E-14	0.149588	-1.82315E-17	0	116.5	0	0	0	0.55	0	100	10000	0	
11.6461	21.3782	15.4	12.782	4.64309	270	24.6329	11.6461	2.64698E-23	40.4152	3.51554E-16	10.3547	0.460625	2.67342	2.63341	0.460625	0	963.44	874.4	2.75122E-14	0.149534	-1.68699E-17	0	115.5	0	0	0	0.55	0	100	10000	0	
11.6363	21.3602	15.4	12.782	4.61999	270	24.6182	11.6363	0	40.5314	3.2523E-16	10.4414	0.469455	2.67276	2.6312	0.469455	0	963.322	874.4	2.46274E-14	0.14948	-1.55083E-17	0	114.5	0	0	0	0.55	0	100	10000	0	
11.6261	21.3415	15.4	12.782	4.61999	270	24.6024	11.6261	-5.29396E-23	40.6542	1.03718E-16	10.5323	0.478593	2.67213	2.62889	0.478593	0	963.196	874.399	1.76463E-14	0.149431	-1.49239E-17	0	113.5	0	0	0	0.55	0	100	10000	0	
11.6159	21.3228	15.4	12.782	4.61999	270	24.5865	11.6159	-1.05879E-22	40.7769	-1.17794E-16	10.6232	0.487731	2.6715	2.62659	0.487731	0	963.069	874.399	1.06653E-14	0.149381	-1.43394E-17	0	112.5	0	0	0	0.55	0	100	10000	0	
11.6053	21.3033	15.4	12.782	4.64309	270	24.5695	11.6053	-1.58819E-22	40.9065	-3.58999E-16	10.7185	0.497186	2.67091	2.62419	0.497186	0	962.934	874.399	7.18715E-15	0.149337	-1.5477E-17	0	111.5	0	0	0	0.55	0	100	10000	0	
11.5947	21.2838	15.4	12.782	4.66619	270	24.5525	11.5947	-2.11758E-22	41.036	-6.00204E-16	10.8138	0.50664	2.67031	2.62179	0.50664	0	962.799	874.399	3.70904E-15	0.149293	-1.66146E-17	0	110.5	0	0	0	0.55	0	100	10000	0	
11.5837	21.2636	15.4	12.782	4.71239	270	24.5342	11.5837	-2.11758E-22	41.1727	-4.24693E-16	10.9135	0.516421	2.66976	2.6193	0.516421	0	962.654	874.399	4.51194E-15	0.149256	-1.67725E-17	0	109.5	0	0	0	0.55	0	100	10000	0	
11.5726	21.2434	15.4	12.782	4.75859	270	24.5159	11.5726	-2.11758E-22	41.3095	-2.49182E-16	11.0132	0.526202	2.6692	2.6168	0.526202	0	962.509	874.399	5.31484E-15	0.149219	-1.69305E-17	0	108.5	0	0	0	0.55	0	100	10000	0	
11.5612	21.2224	15.4	12.782	4.75859	270	24.4963	11.5612	-2.11758E-22	41.4536	-3.4479E-16	11.1175	0.536317	2.66871	2.61422	0.536317	0	962.355	874.399	-3.69489E-16	0.14919	-1.71444E-17	0	107.5	0	0	0	0.55	0	100	10000	0	
11.5498	21.2014	15.4	12.782	4.75859	270	24.4767	11.5498	-2.11758E-22	41.5977	-4.40398E-16	11.2218	0.546433	2.66821	2.61163	0.546433	0	962.2	874.399	-6.05382E-15	0.14916	-1.73582E-17	0	106.5	0	0	0	0.55	0	100	10000	0	
